"","age","racem","ugloanr","actcap","actded","actmgt","actrd","actrdt","actres","acttch","bapbpr","bayr","chchg","chcon","chfam","chlay","chloc","chot","chpay","chret","chsch","ctzfor","dgrdg","dgryr","eddad","edmom","emrg","emsecdt","facadv","facben","facchal","facind","facloc","facresp","facsal","facsec","facsoc"
"164",35,"4","02","N","N","Y","N","N","N","N","1",2004,"L","L","L","L","L","L","L","L","L","L","1",2004,"3","4","05","21","1","2","1","2","4","2","2","2","2"
"165",35,"1","02","L","L","L","L","L","L","L","L",2003,"L","L","L","L","L","L","L","L","L","2","2",2005,"4","5","L","L","2","1","2","1","1","2","2","1","1"
"166",35,"4","04","N","N","Y","N","N","N","N","1",2009,"L","L","L","L","L","L","L","L","L","L","1",2009,"2","3","07","22","2","1","2","2","2","3","2","1","2"
"167",32,"4","03","N","N","N","N","Y","N","Y","1",2006,"L","L","L","L","L","L","L","L","L","L","2",2008,"1","1","07","22","2","1","1","1","1","1","1","1","1"
"168",31,"4","03","N","N","Y","N","N","N","N","2",2007,"Y","Y","N","N","N","N","Y","N","N","L","4",2011,"5","5","04","21","1","1","2","2","3","1","1","2","3"
"169",34,"4","02","N","N","Y","N","N","N","N","1",2005,"L","L","L","L","L","L","L","L","L","L","1",2005,"3","3","05","21","1","1","2","2","1","2","1","1","2"
"170",35,"4","02","N","Y","N","Y","Y","N","N","1",2006,"L","L","L","L","L","L","L","L","L","L","1",2006,"5","4","07","21","2","1","3","3","2","3","1","1","2"
"171",30,"4","03","N","N","Y","N","N","N","N","1",2008,"L","L","L","L","L","L","L","L","L","L","1",2008,"1","1","09","21","1","1","1","1","2","1","1","1","2"
"172",34,"4","03","N","N","Y","N","N","N","N","1",2006,"L","L","L","L","L","L","L","L","L","L","1",2006,"6","5","05","21","1","1","1","1","1","1","1","1","1"
"173",32,"3","02","Y","N","Y","N","N","N","N","2",2008,"N","N","N","N","N","N","Y","N","N","L","1",2008,"7","7","05","31","1","1","1","2","2","1","1","1","2"
"174",31,"4","02","N","N","Y","N","N","N","N","1",2007,"L","L","L","L","L","L","L","L","L","L","3",2011,"7","3","05","23","1","1","1","1","2","1","1","1","1"
"175",35,"4","10","N","N","Y","N","N","N","N","1",2007,"L","L","L","L","L","L","L","L","L","L","4",2012,"3","4","09","21","3","3","2","1","2","2","2","2","1"
"176",35,"1","02","N","N","N","Y","Y","Y","Y","L",2002,"N","Y","Y","N","Y","N","Y","N","N","1","3",2009,"5","5","03","11","2","1","2","1","1","2","1","2","1"
"177",35,"4","03","N","Y","Y","Y","Y","N","N","1",2004,"N","N","N","N","N","N","Y","N","N","L","1",2004,"5","3","03","21","1","1","1","2","2","1","1","1","2"
"178",34,"4","08","N","N","N","N","N","N","N","1",2004,"N","Y","N","N","N","N","Y","N","N","L","2",2012,"2","2","03","11","2","1","1","2","2","2","2","2","2"
"179",35,"4","04","N","N","N","Y","Y","Y","N","1",2004,"L","L","L","L","L","L","L","L","L","L","1",2004,"3","2","06","11","1","1","1","2","3","1","1","1","2"
"180",34,"4","02","N","Y","N","Y","Y","Y","N","1",2005,"N","Y","N","N","N","N","Y","N","N","L","1",2005,"2","3","03","21","2","1","1","1","1","1","1","1","1"
"181",34,"4","04","N","N","Y","N","N","N","N","1",2007,"L","L","L","L","L","L","L","L","L","L","2",2013,"4","3","05","31","1","1","2","1","2","2","1","2","2"
"182",35,"1","07","N","Y","N","Y","Y","Y","N","L",2005,"N","N","N","N","N","N","N","N","Y","1","3",2015,"4","2","05","32","1","1","1","1","1","1","1","1","1"
"183",35,"4","02","Y","N","N","Y","Y","Y","N","2",2003,"L","L","L","L","L","L","L","L","L","L","3",2011,"7","6","09","21","2","1","1","1","1","2","1","2","1"
